17 108 83 20 17 	108 83 20 
57 108 206 222 20 42 74 38 	108 222 42 74 
38 116 217 291 2 322 49 124 42 179 38 	217 2 49 42 
17 176 160 176 210 2 218 95 65 133 123 90 17 	176 2 95 65 123 
17 123 101 219 62 5 47 76 81 56 3 210 5 123 369 123 38 	101 5 76 81 3 369 
17 215 2 133 73 148 222 195 185 152 11 226 64 3 17 	2 73 222 185 11 226 64 
241 17 317 56 312 317 83 312 226 146 257 322 17 	317 312 226 257 
297 210 26 228 188 102 1 305 105 269 169 17 	210 228 102 1 105 169 
38 1 134 124 169 222 56 312 17 	1 124 222 312 
38 275 226 109 17 	226 109 
17 54 222 7 54 17 	108 222 42 74 
