殷丹丹，特定人，四组训练

EXPECTED       WRONGRESULT
w0000  w0273/w0271/w0228/w0107/w0102/w0281/w0105/w0335/w0352/
w0001  w0257/w0273/w0112/w0271/w0324/w0353/w0213/w0068/w0056/w0034/w0101/w0062/w0312/w0262/w0273/
w0002  w0057/w0113/w0029/w0285/w0213/w0144/w0170/w0295/w0196/w0297/w0118/
w0003  w0273/w0324/w0009/w0307/w0126/w0341/w0336/w0198/w0041/w0336/w0335/
w0004  w0118/w0347/w0307/w0046/w0222/w0344/w0341/w0335/
w0005  w0078/w0108/w0079/w0211/w0113/w0059/
w0006  w0118/w0101/w0266/w0048/w0222/w0042/w0013/w0074/w0302/
w0007  w0057/w0218/w0172/w0018/w0000/w0336/w0059/
w0008  w0059/w0222/w0046/w0148/w0335/w0308/
w0009  w0308/w0108/w0083/w0142/w0020/w0010/w0059/
w0010  w0057/w0108/w0083/w0021/w0057/
w0011  w0057/w0222/w0218/w0094/w0059/
w0012  w0057/w0218/w0115/w0196/w0201/w0228/w0059/
w0013  w0057/w0218/w0032/w0135/w0093/w0118/
w0014  w0057/w0218/w0083/w0283/w0228/w0138/w0010/w0059/
w0015  w0057/w0218/w0124/w0228/w0153/w0057/
w0016  w0057/w0066/w0237/w0196/w0218/w0196/w0212/w0205/w0057/
w0017  w0057/w0218/w0146/w0276/w0082/w0123/w0103/w0186/w0293/w0092/
w0018  w0057/w0218/w0276/w0334/w0189/w0105/w0196/w0305/w0057/
w0019  w0057/w0083/w0027/w0023/w0070/w0067/w0000/w0057/
w0020  w0057/w0236/w0035/w0154/w0023/w0082/w0242/w0145/w0070/w0276/w0057/
w0021  w0057/w0237/w0102/w0228/w0196/w0025/w0057/
w0022  w0057/w0218/w0214/w0166/w0102/w0196/w0230/w0178/w0092/
w0023  w0057/w0218/w0154/w0230/w0148/w0204/w0059/
w0024  w0057/w0102/w0060/w0083/w0015/w0215/w0056/w0222/w0112/w0015/w0145/w0059/
w0025  w0057/w0102/w0214/w0297/w0186/w0168/w0302/w0059/
w0026  w0057/w0218/w0336/w0083/w0112/w0020/w0023/w0012/w0326/w0340/
w0027  w0057/w0215/w0331/w0102/w0231/w0085/w0019/w0196/w0204/w0352/
w0028  w0255/w0222/w0014/w0196/w0057/
w0029  w0206/w0001/w0304/w0022/w0143/w0131/w0307/w0368/w0065/w0097/w0308/
w0030  w0057/w0218/w0146/w0276/w0327/w0188/w0307/w0153/w0095/w0168/w0257/
w0031  w0057/w0204/w0276/w0249/w0341/w0357/w0308/
w0032  w0308/w0069/w0230/w0029/w0168/w0162/w0298/w0009/w0214/w0352/
w0033  w0057/w0222/w0218/w0094/w0267/w0092/
w0034  w0057/w0112/w0109/w0008/w0242/w0053/w0092/
w0035  w0057/w0001/w0127/w0146/w0153/w0110/w0213/w0125/w0220/w0195/w0229/w0102/w0059/
w0036  w0057/w0011/w0035/w0047/w0312/w0074/w0209/w0218/w0067/w0092/
w0037  w0092/w0112/w0001/w0214/w0002/w0011/w0142/w0182/w0025/w0057/
w0038  w0057/w0007/w0218/w0148/w0305/w0149/w0092/
w0039  w0057/w0011/w0046/w0236/w0242/w0104/w0249/w0334/w0101/w0296/w0057/
w0040  w0057/w0034/w0293/w0034/w0135/w0121/w0153/w0068/w0348/w0228/w0206/
w0041  w0206/w0212/w0102/w0057/w0025/w0059/
w0042  w0057/w0003/w0155/w0154/w0153/w0108/w0237/w0001/w0047/w0112/w0344/w0308/
w0043  w0057/w0108/w0214/w0196/w0027/w0154/w0023/w0021/w0302/
w0044  w0057/w0001/w0015/w0102/w0057/w0027/w0022/w0020/w0092/
w0045  w0057/w0108/w0104/w0195/w0218/w0224/w0233/w0025/w0153/w0293/w0092/
w0046  w0057/w0108/w0298/w0061/w0011/w0308/w0023/w0013/w0062/w0057/
w0047  w0057/w0102/w0019/w0228/w0353/w0342/w0352/w0022/w0057/
w0048  w0206/w0222/w0071/w0066/w0214/w0114/
w0049  w0255/w0351/w0149/w0263/w0146/w0167/w0228/w0118/
w0050  w0078/w0218/w0006/w0073/w0095/w0154/w0055/w0363/w0184/w0053/w0022/w0092/
w0051  w0057/w0218/w0276/w0228/w0194/w0309/w0331/w0118/
w0052  w0308/w0222/w0149/w0276/w0228/w0096/w0010/w0092/
w0053  w0118/w0222/w0185/w0284/w0341/w0340/
w0054  w0118/w0218/w0073/w0222/w0139/w0185/w0333/w0236/w0271/w0263/w0308/
w0055  w0308/w0218/w0341/w0336/w0073/w0195/w0231/w0146/w0295/w0092/
